ürün_adı,kategori,açıklama,fiyat,marka,bedenler,link
Pamuklu Beyaz Tişört,Tişört,"%100 pamuk, rahat kalıp, nefes alabilir kumaş",199 TL,TrendEase,"S,M,L,XL",https://trendyol.com/p/1001
Siyah Slim Jean,Pantolon,"Dar paça kesim, elastan karışımlı denim, şık görünüm",349 TL,BlackCraft,"30,32,34",https://trendyol.com/p/1002
Oversize Hoodie,Sweatshirt,"Kapüşonlu, kalın kumaş, %80 pamuk",499 TL,CozyLine,"M,L,XL",https://trendyol.com/p/1003
Şort Takımı,Takım,"Yazlık kısa kollu üst ve şort, yumuşak dokulu kumaş",299 TL,FreshWear,"S,M,L",https://trendyol.com/p/1004
Kargo Pantolon,Pantolon,"Cepli, likralı yapı, günlük kullanım için ideal",399 TL,UrbanFlex,"30,32,34,36",https://trendyol.com/p/1005
Beyaz Gömlek,Gömlek,"Klasik kesim, %60 pamuk %40 polyester",279 TL,StylePoint,"S,M,L,XL",https://trendyol.com/p/1006
Spor Eşofman Altı,Pantolon,"Paça lastikli, esnek kumaş, rahat kalıp",259 TL,FitnWear,"M,L,XL",https://trendyol.com/p/1007
Puffer Mont,Mont,"Şişme mont, suya dayanıklı, soğuk geçirmez",899 TL,SnowX,"M,L,XL",https://trendyol.com/p/1008
Desenli Elbise,Elbise,"Viskon kumaş, yazlık, rahat kesim",479 TL,TrendEase,"S,M,L",https://trendyol.com/p/1009
Basic Siyah Tişört,Tişört,"%100 pamuk, yuvarlak yaka, günlük kullanım",189 TL,CoreLine,"S,M,L,XL",https://trendyol.com/p/1010
